Offset-Description                                                                   
0000 - String            20C3A040 : DCH_EVO1           20BFCC40 : FIA_COU            
18D8 - 4 Bytes           20C3B918 : 0                  20BFE518 : 0                  
18DC - Float             20C3B91C : 70000              20BFE51C : 70000              
18E0 - Float             20C3B920 : 10000              20BFE520 : 10000              
18E4 - Pointer           20C3B924 : P->3DCCCCCD        20BFE524 : P->3DCCCCCD        
18E8 - 4 Bytes           20C3B928 : 0                  20BFE528 : 0                  
18EC - 4 Bytes           20C3B92C : 0                  20BFE52C : 0                  
18F0 - Pointer           20C3B930 : P->3EA1A36F        20BFE530 : P->3E9BE0DF        
18F4 - Pointer           20C3B934 : P->3E666666        20BFE534 : P->3E666666        
18F8 - Float             20C3B938 : 25                 20BFE538 : 24                 
18FC - Float             20C3B93C : 1                  20BFE53C : 1                  
1900 - Double            20C3B940 : 0.0244281328225043 20BFE540 : 0.0229187495016959 
1908 - Double            20C3B948 : 0.0250000096623386 20BFE548 : 0.0250000096619871 
1910 - Float             20C3B950 : 6012               20BFE550 : 5510               
1914 - Float             20C3B954 : 16                 20BFE554 : 16                 
1918 - Float             20C3B958 : 0.5                20BFE558 : 0.4499999881       
191C - Float             20C3B95C : 7.5                20BFE55C : 7.5                
1920 - String            20C3B960 : DCH_EVO1           20BFE560 : FIA_COU            
1929 - Byte              20C3B969 : 211                20BFE569 : 211                
192A - 2 Bytes           20C3B96A : 18370              20BFE56A : 18370              
192C - Float             20C3B96C : 10000              20BFE56C : 10000              
1930 - Pointer           20C3B970 : P->3DCCCCCD        20BFE570 : P->3DCCCCCD        
1934 - 4 Bytes           20C3B974 : 0                  20BFE574 : 0                  
1938 - Float             20C3B978 : 70000              20BFE578 : 70000              
193C - Float             20C3B97C : 10000              20BFE57C : 10000              
1940 - Pointer           20C3B980 : P->3DCCCCCD        20BFE580 : P->3DCCCCCD        
1944 - 4 Bytes           20C3B984 : 0                  20BFE584 : 0                  
1948 - 4 Bytes           20C3B988 : 0                  20BFE588 : 0                  
194C - Pointer           20C3B98C : P->3EA1A36F        20BFE58C : P->3E9BE0DF        
1950 - Pointer           20C3B990 : P->3E666666        20BFE590 : P->3E666666        
1954 - Float             20C3B994 : 25                 20BFE594 : 24                 
1958 - Float             20C3B998 : 1                  20BFE598 : 1                  
195C - Double            20C3B99C : 0.012230316127534  20BFE59C : 0.0115543771040393 
1964 - Double            20C3B9A4 : 0.0250000096587082 20BFE5A4 : 0.0250000096583934 
196C - Float             20C3B9AC : 6012               20BFE5AC : 5510               
1970 - Float             20C3B9B0 : 16                 20BFE5B0 : 16                 
1974 - Float             20C3B9B4 : 0.5                20BFE5B4 : 0.4499999881       
1978 - Float             20C3B9B8 : 7.5                20BFE5B8 : 7.5                
197C - String            20C3B9BC : DCH_EVO1           20BFE5BC : FIA_COU            
1985 - Byte              20C3B9C5 : 211                20BFE5C5 : 211                
1986 - 2 Bytes           20C3B9C6 : 18370              20BFE5C6 : 18370              
1988 - Float             20C3B9C8 : 10000              20BFE5C8 : 10000              
198C - Pointer           20C3B9CC : P->3DCCCCCD        20BFE5CC : P->3DCCCCCD        
1990 - 4 Bytes           20C3B9D0 : 0                  20BFE5D0 : 0                  
1994 - Float             20C3B9D4 : 70000              20BFE5D4 : 70000              
1998 - Float             20C3B9D8 : 10000              20BFE5D8 : 10000              
199C - Pointer           20C3B9DC : P->3DCCCCCD        20BFE5DC : P->3DCCCCCD        
19A0 - 4 Bytes           20C3B9E0 : 0                  20BFE5E0 : 0                  
19A4 - 4 Bytes           20C3B9E4 : 0                  20BFE5E4 : 0                  
19A8 - Pointer           20C3B9E8 : P->3EA1A36F        20BFE5E8 : P->3E9BE0DF        
19AC - Pointer           20C3B9EC : P->3E666666        20BFE5EC : P->3E666666        
19B0 - Float             20C3B9F0 : 25                 20BFE5F0 : 24                 
19B4 - Float             20C3B9F4 : 1                  20BFE5F4 : 1                  
19B8 - Double            20C3B9F8 : 0.0141793731105281 20BFE5F8 : 0.0134837496530963 
19C0 - Double            20C3BA00 : 0.0250000096596158 20BFE600 : 0.0250000096592918 
19C8 - Float             20C3BA08 : 6012               20BFE608 : 5510               
19CC - Float             20C3BA0C : 16                 20BFE60C : 16                 
19D0 - Float             20C3BA10 : 0.5                20BFE610 : 0.4499999881       
19D4 - Float             20C3BA14 : 7.5                20BFE614 : 7.5                
19D8 - String            20C3BA18 : DCH_EVO1           20BFE618 : FIA_COU            
19E1 - Byte              20C3BA21 : 211                20BFE621 : 211                
19E2 - 2 Bytes           20C3BA22 : 18370              20BFE622 : 18370              
19E4 - Float             20C3BA24 : 10000              20BFE624 : 10000              
19E8 - Pointer           20C3BA28 : P->3DCCCCCD        20BFE628 : P->3DCCCCCD        
19EC - 4 Bytes           20C3BA2C : 0                  20BFE62C : 0                  
19F0 - Float             20C3BA30 : 70000              20BFE630 : 70000              
19F4 - Float             20C3BA34 : 10000              20BFE634 : 10000              
19F8 - Pointer           20C3BA38 : P->3DCCCCCD        20BFE638 : P->3DCCCCCD        
19FC - 4 Bytes           20C3BA3C : 0                  20BFE63C : 0                  
1A00 - 4 Bytes           20C3BA40 : 0                  20BFE640 : 0                  
1A04 - Pointer           20C3BA44 : P->3EA1A36F        20BFE644 : P->3E9BE0DF        
1A08 - Pointer           20C3BA48 : P->3E666666        20BFE648 : P->3E666666        
1A0C - Float             20C3BA4C : 25                 20BFE64C : 24                 
1A10 - Float             20C3BA50 : 1                  20BFE650 : 1                  
1A14 - Double            20C3BA54 : 0.0166318750882056 20BFE654 : 0.0154131296527339 
1A1C - Double            20C3BA5C : 0.0250000096605234 20BFE65C : 0.0250000096601903 
1A24 - Float             20C3BA64 : 6012               20BFE664 : 5510               
1A28 - Float             20C3BA68 : 16                 20BFE668 : 16                 
1A2C - Float             20C3BA6C : 0.5                20BFE66C : 0.4499999881       
1A30 - Float             20C3BA70 : 7.5                20BFE670 : 7.5                
1A34 - String            20C3BA74 : DCH_EVO1           20BFE674 : FIA_COU            
1A3D - Byte              20C3BA7D : 211                20BFE67D : 211                
1A3E - 2 Bytes           20C3BA7E : 18370              20BFE67E : 18370              
1A40 - Float             20C3BA80 : 10000              20BFE680 : 10000              
1A44 - Pointer           20C3BA84 : P->3DCCCCCD        20BFE684 : P->3DCCCCCD        
1A48 - 4 Bytes           20C3BA88 : 0                  20BFE688 : 0                  
1A4C - Float             20C3BA8C : 70000              20BFE68C : 70000              
1A50 - Float             20C3BA90 : 10000              20BFE690 : 10000              
1A54 - Pointer           20C3BA94 : P->3DCCCCCD        20BFE694 : P->3DCCCCCD        
1A58 - 4 Bytes           20C3BA98 : 0                  20BFE698 : 0                  
1A5C - 4 Bytes           20C3BA9C : 0                  20BFE69C : 0                  
1A60 - Pointer           20C3BAA0 : P->3EA1A36F        20BFE6A0 : P->3E9BE0DF        
1A64 - Pointer           20C3BAA4 : P->3E666666        20BFE6A4 : P->3E666666        
1A68 - Float             20C3BAA8 : 25                 20BFE6A8 : 24                 
1A6C - Float             20C3BAAC : 1                  20BFE6AC : 1                  
1A70 - Double            20C3BAB0 : 0.0205300039553549 20BFE6B0 : 0.0190600044035818 
1A78 - Double            20C3BAB8 : 0.025000009661431  20BFE6B8 : 0.0250000096610887 
1A80 - Float             20C3BAC0 : 6012               20BFE6C0 : 5510               
1A84 - Float             20C3BAC4 : 16                 20BFE6C4 : 16                 
1A88 - Float             20C3BAC8 : 0.5                20BFE6C8 : 0.4499999881       
1A8C - Float             20C3BACC : 7.5                20BFE6CC : 7.5                
1A90 - String            20C3BAD0 : DCH_EVO1           20BFE6D0 : FIA_COU            
1A99 - Byte              20C3BAD9 : 211                20BFE6D9 : 211                
1A9A - 2 Bytes           20C3BADA : 18370              20BFE6DA : 18370              
1A9C - Float             20C3BADC : 10000              20BFE6DC : 10000              
1AA0 - Pointer           20C3BAE0 : P->3DCCCCCD        20BFE6E0 : P->3DCCCCCD        
1AA4 - 4 Bytes           20C3BAE4 : 0                  20BFE6E4 : 0                  
1AA8 - Float             20C3BAE8 : 70000              20BFE6E8 : 70000              
1AAC - Float             20C3BAEC : 10000              20BFE6EC : 10000              
1AB0 - Pointer           20C3BAF0 : P->3DCCCCCD        20BFE6F0 : P->3DCCCCCD        
1AB4 - 4 Bytes           20C3BAF4 : 0                  20BFE6F4 : 0                  
1AB8 - 4 Bytes           20C3BAF8 : 0                  20BFE6F8 : 0                  
1ABC - Pointer           20C3BAFC : P->3EA1A36F        20BFE6FC : P->3E9BE0DF        
1AC0 - Pointer           20C3BB00 : P->3E666666        20BFE700 : P->3E666666        
1AC4 - Float             20C3BB04 : 25                 20BFE704 : 24                 
1AC8 - Float             20C3BB08 : 1                  20BFE708 : 1                  
1ACC - Double            20C3BB0C : 0.0244281328225043 20BFE70C : 0.0229187495016959 
1AD4 - Double            20C3BB14 : 0.0250000096623386 20BFE714 : 0.0250000096619871 
1ADC - Float             20C3BB1C : 6012               20BFE71C : 5510               
1AE0 - Float             20C3BB20 : 16                 20BFE720 : 16                 
1AE4 - Float             20C3BB24 : 0.5                20BFE724 : 0.4499999881       
1AE8 - Float             20C3BB28 : 7.5                20BFE728 : 7.5                
1AEC - String            20C3BB2C : DCH_EVO1           20BFE72C : FIA_COU ¿          
1AF6 - Byte              20C3BB36 : 0                  20BFE736 : 5                  
1AF7 - Byte              20C3BB37 : 13                 20BFE737 : 150                
1AF8 - 4 Bytes (Hex)     20C3BB38 : 0D000000           20BFE738 : 960500BF           
1AFC - 4 Bytes           20C3BB3C : 3087007744         20BFE73C : 3087007744         
1B00 - 4 Bytes           20C3BB40 : 3087007744         20BFE740 : 3087007744         
1B04 - Pointer           20C3BB44 : P->00000000        20BFE744 : P->BFDF002F        
1B08 - Pointer           20C3BB48 : P->00000000        20BFE748 : P->BFDF002F        
1B0C - 4 Bytes (Hex)     20C3BB4C : 00000000           20BFE74C : B8000000           
1B10 - 4 Bytes (Hex)     20C3BB50 : 00000000           20BFE750 : B8000000           
1B14 - Float             20C3BB54 : 0                  20BFE754 : 3.422600806E10     
1B18 - Float             20C3BB58 : 0                  20BFE758 : 3.422600806E10     
1B1C - 4 Bytes (Hex)     20C3BB5C : 00000000           20BFE75C : B8000000           
1B20 - 4 Bytes (Hex)     20C3BB60 : 00000000           20BFE760 : B8000000           
1B24 - 4 Bytes (Hex)     20C3BB64 : 00000000           20BFE764 : 61FF0164           
1B28 - 4 Bytes (Hex)     20C3BB68 : 00000000           20BFE768 : 61FF0164           
1B2C - 4 Bytes           20C3BB6C : 0                  20BFE76C : 3087007744         
1B30 - 4 Bytes           20C3BB70 : 0                  20BFE770 : 3087007744         
1B34 - 4 Bytes (Hex)     20C3BB74 : 00000000           20BFE774 : 6E000000           
1B38 - 4 Bytes (Hex)     20C3BB78 : 00000000           20BFE778 : 6E000000           
1B3C - 4 Bytes (Hex)     20C3BB7C : 00000000           20BFE77C : B8000000           
1B40 - 4 Bytes (Hex)     20C3BB80 : 00000000           20BFE780 : B8000000           
1B44 - 4 Bytes           20C3BB84 : 0                  20BFE784 : 369033320          
1B48 - 4 Bytes           20C3BB88 : 0                  20BFE788 : 369033320          
1B4C - 4 Bytes           20C3BB8C : 0                  20BFE78C : 3087007744         
1B50 - 4 Bytes           20C3BB90 : 0                  20BFE790 : 3087007744         
